permno,permco,correlation
10886,8762,0.204969236612429
10890,21814,0.639438398952672
10892,8766,0.576743151543957
10901,8778,0.0432211945687452
10909,8786,0.682276196252446
10913,8788,0.327971601199315
10932,8810,0.77027590185613
10933,8811,0.637728296971353
10952,8826,0.67846753656423
11003,53459,0.20106967338838
11006,8879,0.460227121224831
11018,8889,0.324384815836861
11038,8908,0.610359992512051
11043,8909,0.126382513431518
11048,8915,0.00542617903209922
11056,8926,0.112002906455072
11061,53101,-0.821662175382478
11077,374,0.698138345326468
11081,9833,0.645771195504507
11131,8990,-0.0146713410375414
11132,8958,0.565524381283207
11137,8995,0.0702026236070364
11144,9002,0.535335051645737
11154,9010,0.624345884343046
11157,376,0.0553207525343825
11161,9013,0.0212200139027433
11162,9014,0.210350626069561
11174,9023,0.514387813180977
11182,53101,0.845444479369591
11196,53101,-0.778903477424243
11203,9053,0.733572247860281
11208,9058,0.578513208647765
11246,9096,0.525943632475953
11264,53101,0.733624813627006
11267,9117,0.663219393513471
11285,9141,0.632364078133601
11292,9146,0.0306977889365699
11293,9147,0.676001564992167
11308,20468,0.554193483517838
11343,9188,0.278175768885291
11348,9193,0.562606745551437
11361,53460,0.165222724691567
11363,53146,0.527932945514809
11368,6977,0.160741122885945
11369,9213,0.663696735919999
11370,53461,0.198673919585667
11378,9221,0.664017663826999
11379,9222,0.488369995033561
11382,9225,0.667837504661603
11394,9235,0.185118238054907
11397,9239,0.701487772701553
11402,9244,0.0880479285484302
11403,9245,0.677066954217501
11404,20499,0.652051758079903
11406,9247,0.543222006890809
11407,53120,0.826281877571415
11426,9264,0.124069605349801
11442,9280,0.690280871139165
11456,5348,0.136815324496346
11478,9309,0.78621665622105
11481,9312,0.544701707696837
11499,176,0.197891971339015
11505,53120,0.628763534339915
11506,9838,0.145026183480508
11510,5977,0.258391539615574
11513,9341,0.313131117448799
11533,9360,0.633539558870512
11547,9370,0.65562635855735
11552,9374,0.571164066389235
11565,9389,0.0857007783840476
11581,323,0.768098317915663
11587,392,0.616194876870932
11593,9418,0.0555043292971781
11599,9425,0.811773630666104
11600,9424,0.757912239858191
11618,9440,0.761843682289945
11628,9449,0.147299790241427
11636,9457,0.124582928673585
11638,9459,0.580183146381194
11641,9462,0.532711877782732
11644,9465,0.598267237701828
11648,53120,0.63528588968253
11652,9473,0.0782710504265571
11654,9476,0.0705428226679899
11664,53462,0.214713316455422
11674,20574,0.705460955168108
11691,157,0.808174578743238
11701,9522,0.689017985577476
11703,20606,0.81633821145252
11707,9526,0.462373398619161
11731,9550,0.72902800381545
11748,8686,-0.00177180088703298
11750,9490,0.0508264038109013
11752,9558,0.680941620514115
11754,20626,0.512787671702018
11762,20627,0.811280211844028
11775,9576,0.290076934241881
11781,9582,0.128483242131639
11786,9588,0.759470236757729
11790,153,0.643731207458675
11809,9616,0.502419678106193
11814,37493,0.737112264812019
11825,9632,0.228284018175304
11839,9641,0.0192687253045599
11844,9645,0.691308796405942
11845,9646,0.794314016759137
11847,9664,0.200808127803521
11850,20678,0.764211436778568
11866,9652,0.109933253470846
11873,9681,0.268945926433839
11884,9677,0.674649624288305
11891,9764,0.654268277820345
11896,9698,0.679612207979219
11903,9749,0.0606882575772751
11908,9721,0.0785921809466324
11910,9651,0.0342129889571695
11917,9819,0.366341923473607
11923,6968,0.0592815290289816
11955,9804,0.792234468364679
11969,37493,0.738163010322892
11972,37493,0.796845940930817
11976,9905,0.685627426259881
11979,37493,0.767794326671106
11980,37493,0.778508062661908
11984,37493,0.800223875683726
11986,37493,0.819020254000466
11988,37493,0.680896131999184
11989,37493,0.817443248382409
11990,53463,0.458722213582446
11992,9882,0.712397858797361
11993,53464,0.171996824553836
11995,1035,0.553209676942479
11996,50699,0.522056745130994
11999,53465,0.139033996188231
12007,53466,0.210520259624044
12008,7062,0.627851190025444
12009,53467,-0.0650942451641625
12011,53468,0.116351403628927
12014,53469,0.184755257147567
12015,53470,0.229842121503515
12017,53444,0.093409191392162
12018,53472,0.261967359853298
12021,53473,0.170224799012408
12023,53474,0.287243055858469
