permno,permco,yearly_ret_2011
11510,5977,0.23625
11513,9341,-0.618453865336658
11533,9360,0.521222410865875
11547,9370,-0.034599473486273
11552,9374,0.126291236254582
11565,9389,-0.34131508931965
11581,323,-0.14763335837716
11587,392,0.283142826621087
11593,9418,-0.193069306930693
11599,9425,-0.15379766782225
11600,9424,-0.00313390313390312
11618,9440,-0.283319638455218
11628,9449,7.075
11636,9457,-0.51063829787234
11638,9459,0.306091370558376
11641,9462,0.458801174641562
11644,9465,-0.381568310428456
11648,53120,-0.279957217617174
11652,9473,-0.0375838926174497
11654,9476,0.567375886524823
11664,53462,-0.437680115273775
11674,20574,0.19486504279131
11691,157,-0.0113829014289174
11701,9522,-0.242454728370221
11703,20606,-0.084949030581651
11707,9526,0.275310834813499
11731,9550,-0.064724919093851
11748,8686,-1.91859099804305
11750,9490,-0.177631578947368
11752,9558,-0.617977528089888
11754,20626,-0.884840425531915
11762,20627,-0.580109964309829
11775,9576,0.180769230769231
11781,9582,-0.556989247311828
11786,9588,-0.131013119533528
11790,153,-0.21578947368421
11803,9604,-0.147058823529412
11809,9616,-0.244905213270142
11814,37493,-1.76062309890312
11825,9632,-0.0930232558139535
11839,9641,-1.892
11844,9645,-0.0114247311827957
11845,9646,-0.161233338686366
11847,9664,0.00557880055788006
11850,20678,0.136955063715627
11866,9652,-0.0536869340232859
11884,9677,-0.190847633905356
11891,9764,-0.32184655396619
11896,9698,0.101988997037664
11903,9749,0.76
11955,9804,-0.111624117327539
11969,37493,0.01288056206089
11972,37493,-1.90506494638654
11976,9905,-0.312211498111624
11979,37493,-0.267969565217391
11980,37493,-0.200995850622407
11984,37493,-0.110930648042878
11986,37493,-0.209264394062959
11988,37493,0.0193474340055747
11989,37493,-0.168620796050602
11990,53463,-0.115172413793103
11992,9882,-0.0706190061028771
11993,53464,-0.516728624535316
11995,1035,0.0280948200175592
11996,50699,-0.0775310500564546
11999,53465,-0.58295652173913
12007,53466,-0.383511074651354
12008,7062,0.404026845637584
12009,53467,-0.665500349895031
12011,53468,-0.692367299496319
12014,53469,-0.607843137254902
12015,53470,0.056580565805658
12017,53444,-0.56
12018,53472,-0.399387129724208
12021,53473,-0.409305064782097
12023,53474,-0.791735537190083
12025,53475,0.0755528719148615
12026,53476,-0.129496402877698
12027,53477,-0.60702875399361
12030,53478,-0.724242424242424
12032,53479,-0.772727272727273
12034,53343,0.125611745513866
12035,53005,0.0310173697270471
12036,20773,0.215140551071528
12038,53480,-0.484386347131445
12039,53481,0.207579185520362
12043,53482,-0.182473655019412
12047,53146,-0.455537093882302
12049,53483,-0.263176144244105
12051,53484,-0.682926829268293
12052,20791,-0.0508789481206232
12054,50699,-0.5784645098986
12056,53485,-0.923857868020305
12057,53486,-0.810606060606061
12059,53271,0.0856644420552976
12060,20792,-0.0202407002188184
12062,9848,-0.0404062953454627
12063,9902,3.08829174664107
12064,53271,0.0101938836697981
12065,53271,0.104009527590314
12066,53487,-0.0968590437877147
12067,9903,0.297611565053425
12068,7067,-0.0411522633744856
12070,53488,-0.19047619047619
12072,3589,-0.458241758241758
12073,9847,-0.0880056777856636
12074,9921,0.253464736680012
12075,50852,-0.0668406108510475
12076,9857,0.010110294117647
12077,53489,-0.612090680100756
12078,53490,0.0391566265060242
12080,53491,-0.285795454545455
12081,53492,0.566024268379729
12082,53493,-0.114874815905744
12084,53494,-0.282781147923472
12085,53495,-0.796008869179601
12088,53496,-0.325619834710744
12089,53497,-0.160743938890734
12090,53498,0.873689727463313
12093,53500,0.270135424091233
12097,53501,-0.696707818930041
12098,53146,-0.0666666666666667
