permno,permco,correlation
11866,9652,0.0161650957323134
11884,9677,0.681569675625018
11891,9764,0.730247991674983
11896,9698,0.691398788799498
11903,9749,0.124344598929169
11955,9804,0.72768453426232
11969,37493,0.734398654394896
11972,37493,0.783040621914304
11976,9905,0.625267794212137
11979,37493,0.79606856993402
11980,37493,0.720759110148404
11984,37493,0.740211468827355
11986,37493,0.869102864126704
11988,37493,0.653063874226068
11989,37493,0.835778181875664
11990,53463,0.786364514720851
11992,9882,0.832303342073115
11993,53464,0.413550546708963
11995,1035,0.61207097811838
11996,50699,0.656536820286848
11999,53465,0.504881930187403
12007,53466,0.543276276245062
12008,7062,0.768118514356185
12009,53467,0.625992245880821
12011,53468,0.440510181926893
12014,53469,0.154719551346261
12015,53470,0.597752868433117
12017,53444,0.182230208890208
12018,53472,0.471772774806492
12021,53473,0.407754909814686
12023,53474,0.229879228937943
12025,53475,0.233583723786082
12026,53476,0.597811838950237
12027,53477,0.36818324457841
12030,53478,0.282354697198741
12032,53479,0.26297127682926
12034,53343,0.0167591968412529
12035,53005,0.664514180278189
12036,20773,0.869167238949149
12038,53480,0.272971050927232
12039,53481,0.0769756162271366
12043,53482,0.361639704833556
12047,53146,0.73553317869948
12049,53483,0.467943167376765
12051,53484,0.599328611057088
12052,20791,0.781474695925041
12054,50699,0.730120262862391
12056,53485,0.270517797214994
12057,53486,0.51972803035342
12059,53271,-0.579400382462447
12060,20792,0.820839460949296
12062,9848,0.755389260506965
12063,9902,0.00618827503412618
12064,53271,-0.179818041343712
12065,53271,-0.448434576363777
12066,53487,0.603601260097875
12067,9903,0.582445636386656
12068,7067,0.779951856647308
12070,53488,0.663854975716037
12072,3589,0.792066575972229
12073,9847,0.80175065359929
12074,9921,0.443403552706241
12075,50852,0.65734128971851
12076,9857,0.825853313124179
12077,53489,0.134989412912022
12078,53490,0.104700460654641
12080,53491,0.548882310445355
12081,53492,0.186432691829313
12082,53493,0.421027096045198
12084,53494,0.707654641875063
12085,53495,0.317915503453346
12088,53496,0.680990171461393
12089,53497,0.545820243239854
12090,53498,0.430727735067787
12093,53500,0.765416281634126
12097,53501,0.301750593880875
12098,53146,0.904355211213891
12101,53502,0.411416104069387
12103,53503,0.5877751775593
12104,53504,0.204604716004339
12105,37493,0.832076607219524
